frame,timestamp,track_id,bbox,pose0_x,pose0_y,pose1_x,pose1_y,pose2_x,pose2_y,pose3_x,pose3_y,pose4_x,pose4_y,pose5_x,pose5_y,pose6_x,pose6_y,pose7_x,pose7_y,pose8_x,pose8_y,pose9_x,pose9_y,pose10_x,pose10_y,pose11_x,pose11_y,pose12_x,pose12_y,pose13_x,pose13_y,pose14_x,pose14_y,pose15_x,pose15_y,pose16_x,pose16_y
4,66.67,1,"[297.3975524902344, 362.49127197265625, 731.05126953125, 1573.281005859375]",511.70865133534306,542.872218919837,534.3371847401495,516.2570588485054,489.9785580842391,516.2570588485054,567.8962561565896,517.2864618716033,458.4783020019531,516.2570588485054,627.0410846212636,645.3462922469429,393.41898379118544,624.6456219217051,596.4392779806386,840.5242256496264,422.9914086383322,819.8235553243886,543.2089180324389,1015.0015285326087,482.1362371030061,985.429103685462,582.6824579653533,956.886081861413,446.6493437393852,956.886081861413,609.2976180366848,1198.350485096807,417.07692950704825,1190.5081734035325,650.6990011463995,1442.7721106487772,374.64614470108694,1446.7587784476902
5,83.33,1,"[297.3975524902344, 362.49127197265625, 731.05126953125, 1573.281005859375]",511.4334955630095,542.4631904933764,534.6993355129076,515.8548504373301,490.3520667034647,515.8548504373301,567.6067106827445,516.2408765709919,458.2167663574219,515.8548504373301,626.7363997749661,645.5541302224864,393.1741133980129,624.8587540336276,596.7855330757474,840.682081139606,422.7389619246773,819.9867049507474,543.568799889606,1015.1147089419159,481.8686510168988,985.5498604152514,582.3891309655231,956.3710380222486,446.3908465841542,956.3710380222486,608.9974710215693,1198.416694972826,416.8260020380435,1189.9333018427308,650.3882393215014,1443.4188444718072,375.04918902853257,1446.761379076087
6,100.0,1,"[293.5958251953125, 367.89599609375, 733.1689453125, 1573.0390625]",512.8963705683548,543.4514360223983,536.5141368150145,516.9447527452772,492.3362739907308,516.9447527452772,568.8550010554297,519.1877632775386,457.58364483976027,516.9447527452772,627.7587867428741,646.5893692415287,395.0887520760652,625.9729940455203,596.0638350896768,840.9718901935496,422.24137178905784,818.0562662953719,543.0504063404654,1017.0374422413154,478.8459087743329,982.9869571785463,583.5809239185904,958.0773718464686,445.8029082744535,955.7780754469919,610.0876548930188,1197.3398907224243,416.35099158207765,1190.7474463818476,651.320307570795,1441.8469650014847,372.8752722660889,1447.035232217748
7,116.67,1,"[293.5958251953125, 367.89599609375, 733.1689453125, 1573.0390625]",513.4506094224515,543.7091918239339,537.5694977187992,517.2545850116163,493.47841388923405,517.2545850116163,569.2993164566766,520.047400180951,457.14478706124277,517.2545850116163,628.087385406699,647.192046012906,395.87440728830995,626.6161381340244,595.9004590791772,841.1927144055425,421.87194174030134,817.2203479574987,542.9911719703064,1018.0141478899674,477.2635521211617,981.8270615838991,583.9963015771339,958.6223775305606,445.38720059870053,955.2258485027622,610.4509788480879,1196.860650088267,415.9931308943711,1190.8354183702472,651.60262879042,1441.4349684687202,372.0485813621892,1447.1672755348452
8,133.33,1,"[294.0343017578125, 367.46539306640625, 732.52685546875, 1573.4395751953125]",513.4152000385508,543.613625305744,537.1675036655071,517.1329844423443,493.03311079138587,517.1329844423443,569.3187456533174,520.1513004946266,457.2216441442898,517.1329844423443,628.1646258652124,646.8078341314827,393.3264822878894,626.2117542568902,595.723350173858,840.9991493999095,421.9141396981373,817.1708058027814,542.762102380473,1017.8266492368209,477.5277313422809,981.9391989284244,584.0302081458753,958.7668581304195,447.84951602384035,957.9315938225932,610.5108663362532,1197.0165022425601,416.0295505127164,1191.2079760266513,651.7029329164642,1441.44075059218,374.21613882240376,1445.0044139565862
9,150.0,1,"[294.0343017578125, 367.46539306640625, 732.52685546875, 1573.4395751953125]",513.6698182858125,543.6918458504559,537.4823322510808,517.2235908046879,493.3686161521552,517.2235908046879,569.5471617195774,520.6269215712585,457.0448388740619,517.2235908046879,628.3655007555141,646.9090387403469,392.418230418102,626.3226132565641,595.5529960058496,841.0094081580436,421.7538720366786,816.7344723258719,542.6165688775402,1018.211782526045,476.88366325429956,981.4256671428903,584.2517471866614,959.1083432050068,448.8962311493545,959.0348549539734,610.7200037568923,1196.8599741587163,415.8720372473366,1191.4405558083915,651.8927649730279,1441.2410418039285,374.91092878465105,1443.9703369445356
10,166.67,1,"[294.9097595214844, 367.6526184082031, 731.7747802734375, 1573.4674072265625]",513.44673484482,543.7099769607213,537.0555295875542,517.2220519007172,492.9089680774697,517.2220519007172,569.3656852078831,520.3174194850993,457.3115112063439,517.2220519007172,628.2277813527602,646.7825691514726,394.85542967247864,626.1808469813225,595.7013675983088,841.0274188136658,421.99427241529344,817.2663315705645,542.7254910762927,1015.4141704266568,477.69701954134143,982.0801281134844,584.0812108546882,958.903860880229,446.40626256796867,959.027353583021,610.569183437141,1197.1429220521657,416.1080727086939,1191.409058855863,651.7726122874022,1441.48451824837,375.09205018890776,1444.2401683860176
11,183.33,1,"[294.9097595214844, 367.6526184082031, 731.7747802734375, 1573.4674072265625]",513.4563459418071,543.7573783949772,536.9899848912986,517.2653981221276,492.83664930438715,517.2653981221276,569.3838725583721,520.3903608277888,457.36215998594076,517.2653981221276,628.2549955152884,646.7670025456842,395.6630173453771,626.1621376746322,595.6944838391588,841.0416534219162,422.03950232086925,817.3265718874452,542.7104646824489,1014.1669138858108,477.8004459706396,982.1656450308473,584.1016593987592,958.9653261852608,445.6390573792865,959.5609186843892,610.5937030882372,1197.211795635216,416.15240560463803,1191.5061970226625,651.803457092759,1441.5121135571644,375.5233860485772,1443.8748495179595
12,200.0,1,"[294.0501708984375, 368.3740539550781, 731.88525390625, 1572.9052734375]",513.0565720357432,544.1549001426459,536.5705315203918,517.6829388460715,492.45055358271736,517.6829388460715,568.9418676530505,518.2455396881727,459.56669534617276,515.2666203354883,627.768488819917,647.0847553765099,395.53975456440224,626.4954835787576,595.3762880809138,841.2126227853047,421.8544315863457,817.6611050691218,542.4323492904343,1016.840587435601,477.71886744605865,982.37563192187,583.648512296299,958.9034253574256,445.2486565414827,959.0938433549667,610.1204877375903,1197.1136460295427,415.9717983345915,1193.6849014739457,651.2991430494877,1441.2274465103183,374.96686258981134,1446.4112918637506
13,216.67,1,"[294.0501708984375, 368.3740539550781, 731.88525390625, 1572.9052734375]",512.8559720988391,544.3820813746969,536.323261778404,517.9184264812311,492.21711660481003,517.9184264812311,568.7237554587058,517.1797042294253,460.72332192570235,514.2613766088863,627.5319175680658,647.2403416533735,395.86936909502987,626.6575476010872,595.2095518193399,841.3073375642471,421.78140670657194,817.8621893013097,542.2822319433345,1017.6066502934269,477.7272975214599,982.525061688156,583.4257789217316,958.9015446137652,444.6749328716216,959.1135995528766,609.8894303926058,1197.0967565364574,415.9006289417264,1194.850882411031,651.0551944598062,1441.0947013275575,374.890952392298,1447.5359695034365
