frame,timestamp,track_id,bbox,pose0_x,pose0_y,pose1_x,pose1_y,pose2_x,pose2_y,pose3_x,pose3_y,pose4_x,pose4_y,pose5_x,pose5_y,pose6_x,pose6_y,pose7_x,pose7_y,pose8_x,pose8_y,pose9_x,pose9_y,pose10_x,pose10_y,pose11_x,pose11_y,pose12_x,pose12_y,pose13_x,pose13_y,pose14_x,pose14_y,pose15_x,pose15_y,pose16_x,pose16_y
4,66.67,1,"[88.20973205566406, 348.3269958496094, 320.1249084472656, 898.0860595703125]",285.63646001401156,417.8976984438689,291.00792130180025,407.1547957710598,284.7611163595448,404.4690498683764,274.01821368673575,403.1261769170346,261.93241815981656,391.5079305897588,219.42826644234034,446.0978778341542,217.15034551205844,451.46933912194294,227.01793438455334,532.0412093452785,221.6464730967646,538.755543584409,235.54264566172725,607.2416673743206,236.41798931619397,612.6131193741509,162.5604135264521,580.3843516474185,149.1317649509596,583.5376162321671,186.7319793701172,687.8135375976562,163.90328117038894,702.5850697393003,174.6461937945822,792.5570386803669,142.41743601923403,837.7469163977581
5,83.33,1,"[88.20973205566406, 348.3269958496094, 320.1249084472656, 898.0860595703125]",285.88905931555706,417.8692640221637,291.25882223378056,407.1297647227412,284.72193444293475,404.4448680048404,273.98243514351225,403.10241964588994,261.9004609481148,391.19579547384507,219.11770364512566,446.0605269722316,217.42461229407272,451.4302898904552,226.99702652640966,531.976658033288,221.62726360818613,538.688869310462,235.2269811215608,607.1533388884171,236.3941059941831,612.5230792501699,162.5598960544752,580.3045017408289,149.13550003715184,583.1647179645041,186.72381591796875,687.69970703125,163.90234242314878,702.4665553880774,174.64185499108353,792.4100766389266,142.42329075025475,837.8777041227921
6,100.0,1,"[88.9085464477539, 348.8396301269531, 320.8266906738281, 897.6235961914062]",285.44945455446947,418.1539790137646,290.8106092149458,407.4316769416429,285.13064372228047,404.75108435261563,273.3613142072447,403.41081190675567,263.3927634776063,391.3226715595309,218.38398485342285,445.25299731909234,217.09478386450834,450.61415197956876,226.4512585347735,532.0784293059215,222.13713131721116,538.7798325636041,235.51446043907038,607.1345468552831,236.88028678984654,612.4956698383685,163.16447336373588,581.3757931670781,148.71457510832653,584.0308443554223,186.2426263442232,687.5517728900683,164.50475802387592,703.3419430114311,175.22706372041316,792.0942246534479,142.01313578771016,838.7365850235674
7,116.67,1,"[88.9085464477539, 348.8396301269531, 320.8266906738281, 897.6235961914062]",285.37173155257,418.27498063427544,290.7278904196375,407.56266441294,285.30519711802623,404.8845697206172,273.0462081390731,403.545557603774,264.08818857401195,391.2200341902771,217.87149047221232,444.8481143288384,217.08077420817048,450.20427319590596,226.17988550654374,532.0932477379614,222.37039939709393,538.7883834925537,235.48661834770374,607.0794014182696,237.09980792520608,612.4355173186799,163.4527093283982,581.8452721032108,148.5156608864405,584.2492131740731,186.00873310152537,687.4216679733893,164.7917421721703,703.6977223076506,175.50405914990552,791.8666677147006,141.82046917560092,839.214821467724
8,133.33,1,"[88.40953063964844, 348.3580017089844, 323.8838806152344, 897.1998901367188]",286.31121958739834,417.88405784740934,291.6694160535384,407.16768897536485,286.34574381100356,404.48861275132964,274.15814288302545,403.14905845758517,262.86294300486844,390.9959817532123,220.23051710420773,444.5432630350567,216.9035379222515,448.81055576050966,226.1831853618891,531.745397764104,221.2053544788194,537.3522361198122,234.50363471678048,606.7599322013588,235.94035063997228,612.1181185828437,163.3562470539802,578.1675935094445,148.48956614284805,581.8404059600024,187.08771193885383,686.0417508493723,164.69579435993447,702.2479714254945,175.4121628394888,791.6171381165307,141.79183479336174,838.7301040106079
9,150.0,1,"[88.40953063964844, 348.3580017089844, 323.8838806152344, 897.1998901367188]",286.75037659711165,417.744933020137,292.107151179146,407.03141655207776,286.9603382693881,404.35307020716203,274.56816547047214,403.01386032700856,262.58240909171906,390.8316492003691,221.17714158925207,444.1892095998974,216.80658718569808,447.90075462507116,226.05138309933716,531.5759318705876,220.72809149618948,536.6266860136835,233.9904522661055,606.5704747351891,235.4591652785336,611.9272503882472,163.44900457503175,576.5297586681828,148.37846745846804,580.7238160244991,187.52093428128867,685.2765732438236,164.78819757166877,701.6862985649146,175.50171165276922,791.3784161116885,141.68251861476026,838.719030365018
10,166.67,1,"[88.8524169921875, 347.51556396484375, 324.2425537109375, 897.623291015625]",287.1404100723228,417.1783613470546,291.4074778320965,407.5421550411559,286.10748023911293,404.85760532551797,268.41842581776393,402.4132545177748,261.7357520666796,390.30366434952424,222.56700974363264,443.9257986546697,217.18733053758575,447.7982218548804,226.5542524487828,531.2723134641915,221.1289013205764,537.5891137951402,234.5226732832077,606.4400872515021,235.89399659894457,612.911313609205,164.6672681842932,574.3406828874524,147.59984279452664,578.4929127006791,187.782510385447,684.3782364172092,163.8054171441464,701.6858760992212,175.64574150497663,790.572953690883,141.99049920679084,838.7821232898377
11,183.33,1,"[88.8524169921875, 347.51556396484375, 324.2425537109375, 897.623291015625]",287.55437224288085,416.820004442189,291.26185054673516,407.7377263264697,285.9694368876462,405.0503505138523,265.4640293703672,402.0393546788571,261.1648607741044,389.95281913529647,223.74096829713756,443.6182346054556,217.33538305345897,447.30245844746213,226.74796522383514,531.0340424446078,221.101990768073,537.7293061850768,234.54566504088294,606.2809260317781,235.8826246008293,613.3230528681116,165.33728353396327,572.4201235446561,147.1463784832126,576.8048055306815,188.12769754456656,683.544763132394,163.34637227446638,701.4120614631835,175.7632329536291,790.0435576991681,142.09520926067975,838.8090887395839
12,200.0,1,"[88.7994613647461, 347.58209228515625, 324.3100891113281, 897.6556396484375]",287.2811218830474,417.0248483811037,291.1528726520562,407.77975651950914,285.79656189528765,405.0930785416487,266.1890334746935,402.2481299187518,261.43359798869375,390.16567087335955,223.0705463718464,442.778679967738,217.3314009627096,447.81594048335495,226.74234740191864,531.2085084844492,221.28228099463936,537.9873072841325,234.72323744344035,606.4354020379543,236.05899583475374,613.3103323854161,165.11657117796796,573.5996825019588,148.43062010546325,577.7334663971637,187.8817440807669,684.0944833571132,163.45669221537716,702.8290461206225,175.70499750535228,790.3143509221878,142.11209554732758,838.8346544157469
13,216.67,1,"[88.7994613647461, 347.58209228515625, 324.3100891113281, 897.6556396484375]",287.3422141256891,416.95568387649007,291.0260640978389,407.8964875163139,285.64063319093935,405.20879291013597,265.1239358250384,402.1734221113618,261.2938391881743,390.10427280120905,223.29745233562014,442.19794936186867,217.40138674040924,447.83840448169735,226.83370789107212,531.1821697128482,221.36176390957303,538.1879920965094,234.82560327915485,606.437287278242,236.14402624175597,613.5041200328508,165.32921561632455,573.2709720744677,148.86943313252567,577.389017422514,187.923392320305,683.9712523516778,163.29000481996613,703.423423198828,175.7322566973009,790.1958361324818,142.17170984838143,838.8609011096764
