frame,timestamp,track_id,bbox,pose0_x,pose0_y,pose1_x,pose1_y,pose2_x,pose2_y,pose3_x,pose3_y,pose4_x,pose4_y,pose5_x,pose5_y,pose6_x,pose6_y,pose7_x,pose7_y,pose8_x,pose8_y,pose9_x,pose9_y,pose10_x,pose10_y,pose11_x,pose11_y,pose12_x,pose12_y,pose13_x,pose13_y,pose14_x,pose14_y,pose15_x,pose15_y,pose16_x,pose16_y
2,33.33,1,"[254.343017578125, 464.8531799316406, 617.849365234375, 1521.141357421875]",658.2929249639096,421.27826723845106,682.6142684273098,392.63651308806044,640.3364775284476,389.2728258215863,709.1612256920855,404.82237442680025,614.1520624575408,388.91028097401494,734.3889000934103,527.7481981360395,598.3407353940217,499.1568364682405,690.973096764606,736.2870483398438,591.7442427925441,640.3512679390285,658.474216627038,728.4819150178329,625.1998649265455,657.2803318189539,700.3390556003736,945.3396553371264,616.246814230214,941.9759282651155,709.2921062967052,1236.4904572860055,588.3805555260699,1237.4471594769022,727.4298652980639,1525.2342953889265,572.7001515264096,1520.1887843919837
3,50.0,1,"[254.343017578125, 464.8531799316406, 617.849365234375, 1521.141357421875]",530.7023341966711,536.8374587349269,555.940525220788,511.5908805183742,511.0745318868885,507.1059641630753,588.4603696076765,517.7723644090735,481.9141553795856,503.74647621486497,622.0972688094429,642.8461794645891,442.1377855383831,604.7243639075238,580.0280735181726,827.4248962402344,447.72293488875675,765.6607095469599,532.3820853855299,901.8628546673318,490.892381751019,855.821021038553,586.7638417119565,976.7374400263247,474.64085321841037,972.2524705969769,603.0153702445652,1219.6957317849865,443.23801853345776,1215.2191374405572,624.322950280231,1453.692520805027,418.0166652513587,1446.9651728091033
4,66.67,1,"[253.9775390625, 467.920166015625, 617.4786987304688, 1521.994384765625]",442.6779809077392,616.4283627036632,468.5041631485674,593.5536802749452,421.9350406891376,588.3064612164351,505.0707384413042,595.6034444414804,390.7796580117559,582.8952842585547,544.4248409316546,721.9468059041438,336.62921062840985,677.3454843552831,503.348905803472,889.7763220997717,348.55598612805727,851.5696493769485,445.38354448694514,1020.5463191596459,398.32257152566433,989.8392129567344,508.268162090818,999.848078856842,377.08775927618393,992.5897837296801,529.5029743402984,1207.3166280642258,343.308767069547,1201.1289230672878,554.9625708065803,1403.3502997536557,309.56847782089704,1397.4905399857112
5,83.33,1,"[253.9775390625, 467.920166015625, 617.4786987304688, 1521.994384765625]",333.9685429796926,714.8233562005794,360.5546413344021,694.8555366876978,311.8196766514627,688.6583695207316,402.17493497735643,691.7945625023889,278.1564479687238,680.7013281621581,448.65361978376654,819.866718182322,204.617801400338,767.1908662089456,408.75567379862537,967.177184406199,225.93934200987718,958.0770278264088,337.94701714768314,1167.8254241596676,283.9324581166332,1157.5895311236814,411.4330299044153,1027.2912073156058,256.50398710913294,1018.1232896351955,438.86150091191547,1192.6290533823574,219.74217484291094,1182.7842925297357,467.9596256380988,1341.9250294390781,176.948644793872,1335.6000276892735
6,100.0,1,"[264.2363586425781, 467.3436584472656, 610.948974609375, 1524.7327880859375]",412.837594411469,644.702669347574,438.93729329239625,622.6163560401044,391.6459407379856,617.0845443620141,474.9345948718425,623.1991702812671,359.7025224103707,610.9289853136374,516.4232388812094,750.3081031138088,298.29463762246166,703.2876474263514,475.59927848935274,912.586261080643,314.5123708595915,882.6779261878933,413.81367961350094,1063.750418623611,366.75277278983253,1040.432648074722,479.88363054800726,1006.9481725948856,343.6898833481613,1000.6858051077809,502.94649514446263,1202.1870708875274,308.9805591815012,1195.4741480595846,527.9464809374888,1385.1811978983894,272.02178675062726,1379.7157683257076
7,116.67,1,"[264.2363586425781, 467.3436584472656, 610.948974609375, 1524.7327880859375]",399.44325655400496,657.46903351267,425.66957561299967,635.736026050718,378.04646908229194,630.0750577341826,461.29539073915964,635.6565789418164,345.74342275895697,623.5826710899413,503.7527592245768,763.1263992727626,280.9632099490716,715.0080624708098,463.03767120454563,922.9175446792783,299.2084835586116,896.7523481067498,399.51982518495464,1083.307830797003,352.572079724104,1063.4117907865148,467.0358799568893,1010.1095033859833,328.68104572367884,1004.3842686946111,490.9268764873875,1199.819517832153,293.5475152420761,1192.8992102797085,515.6341231000243,1376.9481771126264,255.1006074978984,1371.69068932542
8,133.33,1,"[254.48126220703125, 465.67364501953125, 617.2615356445312, 1522.2919921875]",441.7498084581428,618.3765565479431,467.6460268722655,595.4894216678604,420.93963746201007,590.2169876002885,503.606521952048,597.4731537492158,389.67773141018915,584.7580698909238,543.1499807071048,722.0147649368271,332.9970675886553,679.3156315558498,501.9956552426016,889.9468736524042,347.2183914596384,852.0551524735243,443.71896453943157,1021.985682720639,397.2135502507485,991.5114860258992,506.8952435570233,999.5602617750242,375.84408047767334,994.3957926921024,528.2647293842205,1206.183297423904,341.94593234995693,1200.670926908212,551.696369585344,1402.0215066329722,307.2624323092629,1396.8818972696088
9,150.0,1,"[254.48126220703125, 465.67364501953125, 617.2615356445312, 1522.2919921875]",456.92375202778476,604.5451774055047,482.7123442899935,581.2382049275798,436.3145259287358,576.1021313259939,518.6635367295901,583.9575196197482,405.41142819780987,571.0091937693725,557.1843660135343,707.1730822639104,351.2422168887018,666.7185979486632,515.85779433277,878.0691327385063,364.38734843979194,835.9863555436299,459.42542635465423,1000.0609920262877,413.2020004581426,965.8281608912873,521.0803047911899,995.6896134974735,392.72240936992495,991.0743981808384,541.5599332356803,1208.2939343824478,359.2512369523154,1203.4026572306357,564.1947340924062,1410.870891405309,325.7730515498759,1405.8930314690513
10,166.67,1,"[254.2686309814453, 465.4173278808594, 616.7258911132812, 1522.010498046875]",456.86139643971944,603.9129859829881,482.63667185209573,578.4862503632517,436.26554384758157,575.4750426901007,518.7200130999252,583.3414289964618,405.38387844511533,570.3929980036338,557.2003717275987,708.9362724477921,353.7805933895444,666.0898829913662,518.0065213123056,877.7120705205949,364.41111045978545,835.5470361027136,459.5220625838638,999.4138077092191,413.177270702101,965.0844408880373,521.1150053861179,995.4955021993458,394.84691289584333,990.5312929255467,541.5649055439867,1208.2796986531991,359.2803869239886,1203.279067285039,564.53529199198,1413.0521054378157,325.9709301926204,1405.834678965793
11,183.33,1,"[254.2686309814453, 465.4173278808594, 616.7258911132812, 1522.010498046875]",464.211804279551,596.8591264772027,489.9278794856352,570.1396753977758,443.7205824167508,568.285886084878,526.0745505907954,576.4494531762891,413.0244894920212,563.3874913137536,564.0365987096405,702.6208608029948,363.96062812845906,659.6383423030293,525.854056907427,871.7499683373873,372.77635178845657,827.5036641338035,467.21319029831795,988.4146921601767,420.94327238081485,952.20710556847,528.0341386606865,993.5126823322746,404.1494467272253,988.6364945343026,548.0358405714312,1209.2992558671035,367.71473069603786,1204.5446475991378,570.7908652932989,1418.4775175317777,335.07832238346134,1410.188812634124
