frame,timestamp,track_id,bbox,pose0_x,pose0_y,pose1_x,pose1_y,pose2_x,pose2_y,pose3_x,pose3_y,pose4_x,pose4_y,pose5_x,pose5_y,pose6_x,pose6_y,pose7_x,pose7_y,pose8_x,pose8_y,pose9_x,pose9_y,pose10_x,pose10_y,pose11_x,pose11_y,pose12_x,pose12_y,pose13_x,pose13_y,pose14_x,pose14_y,pose15_x,pose15_y,pose16_x,pose16_y
4,66.67,1,"[162.710693359375, 365.38714599609375, 348.3842468261719, 883.6571655273438]",321.3385925292969,434.9087577488111,326.3999063243037,423.5207798170007,318.8079409391984,422.2554586659307,311.21594503651494,419.2846746030061,299.8279870074728,416.75400311013925,282.11336484162706,476.2245151685632,271.550584876019,483.81649116847825,288.4400090756624,542.0216621730639,281.67323236880094,543.2870032269021,306.15464185631794,606.5534880264946,304.8893008024796,606.9936204993206,204.9282445492952,603.1976185674253,198.60159500785497,606.5534880264946,236.1213597836702,705.6893310546875,225.1735189686651,717.9025082795516,235.29616115404212,794.7025464928669,213.7855456808339,836.0183238153872
5,83.33,1,"[162.710693359375, 365.38714599609375, 348.3842468261719, 883.6571655273438]",321.3416442871094,434.79454239555025,326.4028983738112,423.4066838803499,318.8110192340353,422.1413826320482,311.2191095766814,419.44570790166443,299.83127759850544,416.9150563115659,282.1168411918309,476.38492484714675,271.82925680409306,483.9768079674762,288.44341908330506,542.181348717731,281.95179151452106,543.446676503057,306.1578594705333,606.7124713400136,304.8925316852072,606.8775210173234,204.9325700842816,603.0815456224524,198.6059902025306,606.7124713400136,236.4004198157269,705.5721435546875,225.1776222560717,718.0602576214334,235.30015497622284,794.3093075959579,213.78977501910666,835.8997165845789
6,100.0,1,"[163.0353546142578, 367.1078796386719, 347.8312072753906, 882.7794799804688]",321.9805726982352,435.78902814054146,326.0381151502886,423.4620440340382,319.45986307828275,422.20169313843064,311.8977758267147,419.7050526091152,299.5707989690423,416.200507229694,280.9420613268492,476.4207605647361,271.86713820794984,482.9989882081818,288.22764337317676,541.9589072474391,282.9337874387619,543.2192653918776,305.8725280761719,606.2367030345346,305.5960222910249,605.2288054332597,206.02845575690552,603.4154345587143,198.74286207620435,607.2205553938261,236.5773790952995,705.503702702828,225.21019409614618,719.1151062156695,236.27683169258464,792.7202557271563,213.8670543389762,835.3196524214575
7,116.67,1,"[163.0353546142578, 367.1078796386719, 347.8312072753906, 882.7794799804688]",322.2870671143158,436.2038889952611,325.86560349807655,423.4288131617741,319.77110304867426,422.17083499762293,312.2232922466656,419.9130004706319,299.44821792597816,415.9437198278444,280.38326951357544,476.52172309476015,272.03090401960407,482.6161820903047,288.12645715683755,541.9362409095878,283.54802918091895,543.1942205865386,305.738049051036,606.0927805602643,305.9334196677499,604.3813359572672,206.5536777709469,603.5140850646651,198.81047562529548,607.546130853929,236.80771627586685,705.40977728112,225.22788268072256,719.7009545928693,236.7449933396481,791.7563705184324,213.90614339491066,834.9808362594237
8,133.33,1,"[162.64585876464844, 366.34979248046875, 349.0221252441406, 885.2410278320312]",322.90465284604375,435.92919088038343,327.60619251307236,423.15780262975,321.4065131242633,421.8930710229893,312.7867422958976,419.45509070811886,300.01535326028375,415.5368573406354,277.82621461718355,475.3368919717452,274.34532287697243,480.50518588757996,287.60135992408794,542.1345476347673,284.8206370050452,543.3993033017636,305.3076937506233,604.5734224166599,307.49441578113846,605.1559177857441,207.58020448546478,602.0765032187478,198.83640570801202,606.9935255108325,237.90135177259356,704.5201631053394,224.36452564166643,717.6164401634971,235.8711738765829,791.5715279589872,214.01324928665198,835.8194419719514
9,150.0,1,"[162.64585876464844, 366.34979248046875, 349.0221252441406, 885.2410278320312]",323.3692234892185,435.99366303959727,328.4057932931671,423.0037477112847,322.3906095960486,421.7367515121735,313.2331609992739,419.3246933452777,300.24324089704356,415.2038116117892,276.25203641080697,474.78449839933023,275.60190967769074,479.24422678190336,287.2847698995185,542.2241653316556,285.7694172606541,543.4911942267762,305.0228697851759,603.7305936396965,308.45356587817463,605.1326685224891,208.36015670793702,601.394541081694,198.88283845016554,606.8728670161643,238.5703606029664,704.0219207841922,223.93452455740135,716.8453850972274,235.6574286363413,791.0035011897286,214.0869000427768,836.0789144739438
10,166.67,1,"[162.66012573242188, 366.3156433105469, 349.01495361328125, 885.2510986328125]",323.13725371000595,435.8000017791063,327.21987148842936,423.03393426861425,322.0152608789164,421.7665801236437,312.99842260897975,419.25923791688206,300.2323785683645,415.3646399466908,277.9310271369752,474.8773746075729,275.20340804557947,479.70887649729787,287.41347070119195,542.1923778223603,285.28939750904,543.4597644251953,305.1564171975484,604.0019314164836,308.0743935892675,605.4401391248114,207.95354893195508,601.5324128667866,198.84419417011117,606.7745368469328,238.30483151919364,704.1879480701865,224.04586563909288,716.8359696063567,235.54456259165545,792.554997864687,214.05242075812552,836.137943308745
11,183.33,1,"[162.66012573242188, 366.3156433105469, 349.01495361328125, 885.2510986328125]",323.2445775857182,435.7320805742028,327.00112286286577,422.9743744713863,322.3021151179844,421.7057336289207,313.0954844595063,419.1621484503349,300.33781436938955,415.2848959748377,278.0253581050953,474.65593173934116,275.6111209353389,479.3329603172271,287.3252647059524,542.2197283254602,285.5053643233538,543.4884057102436,305.08617061701824,603.7305445644238,308.3471350719088,605.5865118951322,208.12492954792216,601.2709331728609,198.84699198428027,606.6653302678014,238.49452768059695,704.0304012237707,223.8935121007036,716.4555498392563,235.3825570141214,793.0740478459957,214.0706129847935,836.2946107905823
12,200.0,1,"[164.01600646972656, 367.7551574707031, 348.20880126953125, 883.96533203125]",324.02200063869316,435.5770447677848,327.7403651644636,423.98361643175247,321.8149232742744,422.72163727753735,313.926028577983,419.15498129821566,300.26159695996006,415.36005423711646,277.64103485268726,474.5924775633593,276.23083849839713,479.5411033987968,287.55117360180896,542.6042889819141,286.24535714512916,543.8662753817265,305.21916121660485,604.2613622203633,307.93294654616665,606.7379079543637,208.23508998846225,602.788975333068,199.3017421581634,606.8847288380251,238.50696562940055,705.0108116051612,224.4512854011802,717.5421661410014,236.85371711934496,792.4624544026989,214.44572223625028,837.3845291054488
13,216.67,1,"[164.01600646972656, 367.7551574707031, 348.20880126953125, 883.96533203125]",324.47340707681553,435.4643919525025,328.0135257728881,424.4728650198201,321.7043202881691,423.2136805056599,314.39971894381324,419.1040651466285,300.27375746048625,415.3598494729682,277.48958642531466,474.45215873751664,276.7474115594666,479.46509000052845,287.6242593381323,542.8150597742122,286.7304008625866,544.0742384778559,305.25327287450324,604.4018913832087,307.8529631703079,607.4003401383713,208.3750352653827,603.4412446187129,199.53660849486516,606.9442544490646,238.6056432340453,705.4375830986905,224.6635678310834,717.915040135249,237.5303095464511,792.4009415361324,214.64718423644462,838.0204022763779
